Model,Accuracy,Precision,Recall,F1_Score,Accuracy (%)
Model 1 - Tenure,0.7643718949609652,0.591304347826087,0.36363636363636365,0.4503311258278146,76.44
Model 2 - Tenure + Dropout,0.7643718949609652,0.591304347826087,0.36363636363636365,0.4503311258278146,76.44
Model 3 - Tenure + MonthlyCharges + TotalCharges,0.7927608232789212,0.6529850746268657,0.4679144385026738,0.5451713395638629,79.28
Logistic Regression,0.7849538679914834,0.642570281124498,0.42780748663101603,0.5136436597110754,78.5
Random Forest,0.7608232789212207,0.5602605863192183,0.45989304812834225,0.5051395007342144,76.08
Gradient Boosting,0.7863733144073811,0.6289752650176679,0.47593582887700536,0.5418569254185692,78.64
